product_url,product_name,product_price,rating,num_reviews
/Wildcraft-Verge-litres-Travel-Pack/dp/B07YFQZ66T,"<span class=""a-size-medium a-color-base a-text-normal"">Wildcraft Verge 35 litres Travel Bag Pack (Camo)</span>","₹1,838",4.4,(38)
/uppercase-Backpack-2300EBP1-repellent-sustainable/dp/B0B69M182Q,"<span class=""a-size-medium a-color-base a-text-normal"">uppercase Medium 17 Ltrs Vegan Leather (14.6 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty (Green)</span>","₹1,600",4.0,(108)
/uppercase-Backpack-1600EBP1-resistant-sustainable/dp/B0B68ZS5G1,"<span class=""a-size-medium a-color-base a-text-normal"">uppercase Laptop Backpack 1600EBP Compact 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls , 750 Days warranty</span>",₹950,4.2,(154)
/Chumbak-Floral-Camera-Laptop-Bag/dp/B07QPNGLKC,"<span class=""a-size-medium a-color-base a-text-normal"">Chumbak laptop Bag</span>","₹3,495",4.6,(60)
/Isle-Coco-Hidesign-Womens-Sling/dp/B07L6D1VFK,"<span class=""a-size-medium a-color-base a-text-normal"">Hidesign Women Sling Bag (Blue)</span>","₹1,599",4.3,(128)
/Wildcraft-Wolf_Blu-Casual-Backpack-11629-Wolf_Blu/dp/B079DFHYHP,"<span class=""a-size-medium a-color-base a-text-normal"">Wildcraft 44 Ltrs Casual Backpack (11629-Wolf_Blue)</span>","₹1,580",4.4,(629)
/PLAYY-BAGS-Backpack-College-Students/dp/B099N8JRVJ,"<span class=""a-size-medium a-color-base a-text-normal"">PLAYY BAGS Large 35 L Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens &amp; Students(Navy Blue)</span>",₹599,3.3,(110)
/Lavie-MARMA-Womens-Sling-Bag/dp/B07KMBX9ZL,"<span class=""a-size-medium a-color-base a-text-normal"">Lavie Women's Marma Round Tassel Sling Bag | Ladies Purse Handbag | Crossbody Sling Bag</span>",₹673,4.1,(547)
/Wildcraft-Solid-Backpack-Grey-11911/dp/B07N1CM9QS,"<span class=""a-size-medium a-color-base a-text-normal"">Wildcraft 35 Ltrs 18.5 cms Backpack (11911 Grey_Grey)</span>","₹1,225",4.2,(157)
/AirCase-C25-Messenger-Shoulder-Compartments/dp/B07P42BHHT,"<span class=""a-size-medium a-color-base a-text-normal"">AirCase Office Messenger Sling Bag fits upto 15.6"" Laptop/Macbook, Detachable Shoulder Strap, Waterproof, Shockproof, Carry Handle with Spacious Pockets, For Men &amp; Women</span>",₹949,3.9,(657)
/Clownfish-Trident-Laptop-Briefcase-Messenger/dp/B079HZJTK2,"<span class=""a-size-medium a-color-base a-text-normal"">The Clownfish Trident Series Laptop Briefcase 15.6 inch Laptop Bag Messenger Bag (Dark Brown)</span>","₹1,819",4.4,(236)
/SAFARI-Denim-Casual-Backpack-DAYPACKNEO15CBDNB/dp/B07NSC4SL5,"<span class=""a-size-medium a-color-base a-text-normal"">SAFARI 15 Ltrs Denim Blue Casual/School/College Backpack (DAYPACKNEO15CBDNB)</span>",₹549,4.0,"(12,158)"
/Kraptick-backpack-maternity-nursing-mothers/dp/B0BFWJFS62,"<span class=""a-size-medium a-color-base a-text-normal"">Kraptick Diaper bag backpack, diaper bags for mom for travel, baby diaper bag, maternity bags for mother and baby, nursing bags for mothers, diaper bag handbag</span>",₹975,5.0,(2)
/ASTRID-Blue-Diamond-Textured-Cotton/dp/B08W5DQ33D,"<span class=""a-size-medium a-color-base a-text-normal"">ASTRID Blue Diamond Textured Cotton Tote Bag</span>",₹599,4.1,(74)
/Kuber-Industries-Handcrafted-Embroidered-Handbag/dp/B082VFV736,"<span class=""a-size-medium a-color-base a-text-normal"">Kuber Industries Handcrafted Embroidered Clutch Bag Purse Handbag for Bridal, Casual, Party, Wedding (Maroon and Peach) - CTKTC034524-2 Pieces</span>",₹593.01,3.6,(25)
/Lino-Perro-Colored-Sling-BEIGE/dp/B08ZKY3JZH,"<span class=""a-size-medium a-color-base a-text-normal"">Lino Perros Colored Sling bag (BEIGE)</span>",₹678,4.1,(196)
/RBB-HUB-Black-Leather-Sling/dp/B082G8KPD2,"<span class=""a-size-medium a-color-base a-text-normal"">RBB HUB Black Leather Gym Bag Gym Bag (Black, Sling Bag)</span>",₹179,5.0,(1)
/Nelle-Harper-Womens-Shoulder-Dark/dp/B07RBR6NW2,"<span class=""a-size-medium a-color-base a-text-normal"">Nelle Harper Women's Handbag</span>",₹699,3.9,"(2,816)"
/Goatter-Hunter-Leather-Laptop-Messenger/dp/B0BQR4N3CM,"<span class=""a-size-medium a-color-base a-text-normal"">Goatter Hunter Leather 16"" Inch Laptop Messenger Bag/Office Bag For Men</span>","₹2,499",4.1,(40)
/Lino-Perros-quilted-sling-bag/dp/B09P68T4BQ,"<span class=""a-size-medium a-color-base a-text-normal"">Lino Perros quilted sling bag</span>","₹1,108",4.0,(46)
/Fristo-FRB-315-Red-Women-Handbag/dp/B07MNRTDK5,"<span class=""a-size-medium a-color-base a-text-normal"">Fristo Women's Handbag (FRB-315_Red)</span>",₹498,3.9,"(5,540)"
/Chumbak-Forest-Flowers-Embroidered-Green/dp/B084YYMS2W,"<span class=""a-size-medium a-color-base a-text-normal"">Chumbak Forest Flowers Embroidered Sling Bag - Green</span>","₹2,396",4.0,(12)
